"visit_date","cpu"
"2023-06-01",7.8206953189159595
"2023-06-02",0.57917261055634807418
"2023-06-03",0.77662692984170412351
"2023-06-04",1.2520924004017409
"2023-06-05",0.73579710144927536232
"2023-06-06",0.70031719762791339126
"2023-06-07",1.7696864111498258
"2023-06-08",0.69486652977412731006
"2023-06-09",0.78191898968119513322
"2023-06-10",1.2939781887150308
"2023-06-11",1.1170691772410970
"2023-06-12",0.86026128658839093766
"2023-06-13",22.7201884740848133
"2023-06-14",9.5579916091487346
"2023-06-15",10.2581936823372386
"2023-06-16",8.9949633699633700
"2023-06-17",12.6123867705919528
"2023-06-18",10.7914188615123195
"2023-06-19",31.1687313114053823
"2023-06-20",8.7468419037897155
"2023-06-21",22.3565730142212973
"2023-06-22",14.6209778520685332
"2023-06-23",8.4106236944195762
"2023-06-24",12.6378066378066378
"2023-06-25",11.1909321868282197
"2023-06-26",8.5722778019428737
"2023-06-27",7.7364213197969543
"2023-06-28",8.3122074636306135
"2023-06-29",8.0258546746722215
"2023-06-30",16.7017268445839874
