"source","visit_date","visitors_count"
organic,"2023-06-13",1191
google,"2023-06-13",1074
yandex,"2023-06-13",648
vk,"2023-06-13",450
admitad,"2023-06-13",68
telegram,"2023-06-13",62
bing.com,"2023-06-13",61
vk-senler,"2023-06-13",22
timepad,"2023-06-13",5
vc,"2023-06-13",5
baidu.com,"2023-06-13",4
facebook,"2023-06-13",3
twitter,"2023-06-13",3
yandex.com,"2023-06-13",3
zen,"2023-06-13",1
go.mail.ru,"2023-06-13",1
Yandex,"2023-06-13",1
google,"2023-06-14",6299
organic,"2023-06-14",1884
yandex,"2023-06-14",1042
vk,"2023-06-14",79
telegram,"2023-06-14",79
admitad,"2023-06-14",71
bing.com,"2023-06-14",64
timepad,"2023-06-14",44
vk-senler,"2023-06-14",30
baidu.com,"2023-06-14",5
yandex.com,"2023-06-14",5
twitter,"2023-06-14",4
vc,"2023-06-14",3
zen,"2023-06-14",2
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,"2023-06-14",1
facebook,"2023-06-14",1
dzen,"2023-06-14",1
mytarget,"2023-06-14",1
yandex-direct,"2023-06-14",1
google,"2023-06-15",6115
organic,"2023-06-15",1216
yandex,"2023-06-15",1016
admitad,"2023-06-15",83
vk,"2023-06-15",78
bing.com,"2023-06-15",60
telegram,"2023-06-15",50
vk-senler,"2023-06-15",26
twitter,"2023-06-15",5
baidu.com,"2023-06-15",4
instagram,"2023-06-15",3
dzen,"2023-06-15",3
yandex.com,"2023-06-15",2
timepad,"2023-06-15",2
twitter.com,"2023-06-15",1
podcast,"2023-06-15",1
vc,"2023-06-15",1
vkontakte,"2023-06-15",1
facebook,"2023-06-15",1
slack,"2023-06-15",1
zen,"2023-06-15",1
google,"2023-06-16",5394
organic,"2023-06-16",1770
yandex,"2023-06-16",1001
vk,"2023-06-16",93
admitad,"2023-06-16",60
bing.com,"2023-06-16",48
telegram,"2023-06-16",37
vk-senler,"2023-06-16",20
twitter,"2023-06-16",3
timepad,"2023-06-16",2
instagram,"2023-06-16",2
baidu.com,"2023-06-16",1
slack,"2023-06-16",1
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,"2023-06-16",1
yandex.com,"2023-06-16",1
google,"2023-06-17",3499
organic,"2023-06-17",1456
yandex,"2023-06-17",979
admitad,"2023-06-17",72
vk,"2023-06-17",66
bing.com,"2023-06-17",41
telegram,"2023-06-17",31
vk-senler,"2023-06-17",23
Yandex,"2023-06-17",2
yandex.com,"2023-06-17",2
instagram,"2023-06-17",2
baidu.com,"2023-06-17",2
zen,"2023-06-17",1
yandex-direct,"2023-06-17",1
facebook,"2023-06-17",1
twitter,"2023-06-17",1
timepad,"2023-06-17",1
google,"2023-06-18",3851
yandex,"2023-06-18",951
organic,"2023-06-18",809
admitad,"2023-06-18",78
vk,"2023-06-18",52
bing.com,"2023-06-18",36
telegram,"2023-06-18",30
vk-senler,"2023-06-18",30
Yandex,"2023-06-18",3
twitter,"2023-06-18",2
vc,"2023-06-18",2
zen,"2023-06-18",2
baidu.com,"2023-06-18",1
vkontakte,"2023-06-18",1
vk.com,"2023-06-18",1
zen_from_telegram,"2023-06-18",1
partners,"2023-06-18",1
yandex-direct,"2023-06-18",1
facebook,"2023-06-18",1
organic,"2023-06-19",1154
yandex,"2023-06-19",1035
google,"2023-06-19",502
vk,"2023-06-19",88
admitad,"2023-06-19",70
bing.com,"2023-06-19",54
telegram,"2023-06-19",24
vk-senler,"2023-06-19",23
twitter,"2023-06-19",5
zen,"2023-06-19",3
timepad,"2023-06-19",3
twitter.com,"2023-06-19",3
instagram,"2023-06-19",3
yandex.com,"2023-06-19",2
go.mail.ru,"2023-06-19",2
Yandex,"2023-06-19",2
vc,"2023-06-19",1
dzen,"2023-06-19",1
search.ukr.net,"2023-06-19",1
google,"2023-06-20",6348
organic,"2023-06-20",2049
yandex,"2023-06-20",1013
vk,"2023-06-20",82
admitad,"2023-06-20",78
bing.com,"2023-06-20",44
telegram,"2023-06-20",29
instagram,"2023-06-20",23
vk-senler,"2023-06-20",19
yandex.com,"2023-06-20",4
yandex-direct,"2023-06-20",3
go.mail.ru,"2023-06-20",2
twitter.com,"2023-06-20",1
timepad,"2023-06-20",1
twitter,"2023-06-20",1
Yandex,"2023-06-20",1
baidu.com,"2023-06-20",1
vk.com,"2023-06-20",1
zen,"2023-06-20",1
vc,"2023-06-20",1
organic,"2023-06-21",1287
google,"2023-06-21",1060
yandex,"2023-06-21",975
vk,"2023-06-21",98
admitad,"2023-06-21",79
telegram,"2023-06-21",47
bing.com,"2023-06-21",45
vk-senler,"2023-06-21",16
instagram,"2023-06-21",13
yandex.com,"2023-06-21",8
zen,"2023-06-21",3
Yandex,"2023-06-21",2
facebook,"2023-06-21",2
twitter,"2023-06-21",2
vk.com,"2023-06-21",1
zen_from_telegram,"2023-06-21",1
vk-group,"2023-06-21",1
yandex-direct,"2023-06-21",1
dzen,"2023-06-21",1
tg,"2023-06-21",1
google,"2023-06-22",3601
organic,"2023-06-22",1196
yandex,"2023-06-22",1060
admitad,"2023-06-22",99
vk,"2023-06-22",95
bing.com,"2023-06-22",48
telegram,"2023-06-22",27
vk-senler,"2023-06-22",23
baidu.com,"2023-06-22",5
yandex.com,"2023-06-22",5
zen,"2023-06-22",3
dzen,"2023-06-22",3
instagram,"2023-06-22",2
twitter,"2023-06-22",2
tg,"2023-06-22",2
facebook,"2023-06-22",2
vk-group,"2023-06-22",1
mytarget,"2023-06-22",1
zen_from_telegram,"2023-06-22",1
timepad,"2023-06-22",1
podcast,"2023-06-22",1
yandex-direct,"2023-06-22",1
google,"2023-06-23",5180
organic,"2023-06-23",1669
yandex,"2023-06-23",1176
telegram,"2023-06-23",95
vk,"2023-06-23",95
admitad,"2023-06-23",61
bing.com,"2023-06-23",39
vk-senler,"2023-06-23",20
timepad,"2023-06-23",4
yandex.com,"2023-06-23",3
instagram,"2023-06-23",2
twitter,"2023-06-23",2
zen,"2023-06-23",2
facebook,"2023-06-23",2
search.ukr.net,"2023-06-23",1
google,"2023-06-24",2746
organic,"2023-06-24",1225
yandex,"2023-06-24",1043
vk,"2023-06-24",91
telegram,"2023-06-24",68
admitad,"2023-06-24",60
bing.com,"2023-06-24",32
vk-senler,"2023-06-24",9
baidu.com,"2023-06-24",4
yandex.com,"2023-06-24",2
twitter,"2023-06-24",1
timepad,"2023-06-24",1
facebook,"2023-06-24",1
go.mail.ru,"2023-06-24",1
yandex-direct,"2023-06-24",1
google,"2023-06-25",3550
organic,"2023-06-25",1516
yandex,"2023-06-25",993
vk,"2023-06-25",106
admitad,"2023-06-25",79
telegram,"2023-06-25",44
bing.com,"2023-06-25",31
vk-senler,"2023-06-25",5
yandex.com,"2023-06-25",3
timepad,"2023-06-25",2
go.mail.ru,"2023-06-25",2
twitter,"2023-06-25",1
instagram,"2023-06-25",1
zen,"2023-06-25",1
vkontakte,"2023-06-25",1
baidu.com,"2023-06-25",1
google,"2023-06-26",5764
organic,"2023-06-26",1137
yandex,"2023-06-26",1040
telegram,"2023-06-26",168
admitad,"2023-06-26",101
vk,"2023-06-26",99
bing.com,"2023-06-26",49
vk-senler,"2023-06-26",18
facebook,"2023-06-26",5
baidu.com,"2023-06-26",3
instagram,"2023-06-26",3
zen,"2023-06-26",2
dzen,"2023-06-26",1
search.ukr.net,"2023-06-26",1
yandex.com,"2023-06-26",1
podcast,"2023-06-26",1
twitter,"2023-06-26",1
google,"2023-06-27",5965
organic,"2023-06-27",1863
yandex,"2023-06-27",1051
telegram,"2023-06-27",90
vk,"2023-06-27",78
admitad,"2023-06-27",76
bing.com,"2023-06-27",50
vk-senler,"2023-06-27",25
twitter,"2023-06-27",6
yandex.com,"2023-06-27",4
facebook,"2023-06-27",4
partners,"2023-06-27",2
yandex-direct,"2023-06-27",1
dzen,"2023-06-27",1
instagram,"2023-06-27",1
zen,"2023-06-27",1
Yandex,"2023-06-27",1
vk-group,"2023-06-27",1
google,"2023-06-28",5701
organic,"2023-06-28",1797
yandex,"2023-06-28",975
telegram,"2023-06-28",105
admitad,"2023-06-28",101
vk,"2023-06-28",92
bing.com,"2023-06-28",44
vk-senler,"2023-06-28",16
facebook,"2023-06-28",5
twitter,"2023-06-28",3
mytarget,"2023-06-28",2
instagram,"2023-06-28",2
telegram.me,"2023-06-28",2
Yandex,"2023-06-28",1
vk-group,"2023-06-28",1
partners,"2023-06-28",1
yandex.com,"2023-06-28",1
google,"2023-06-29",5921
organic,"2023-06-29",1179
yandex,"2023-06-29",994
telegram,"2023-06-29",113
vk,"2023-06-29",97
admitad,"2023-06-29",72
vk-senler,"2023-06-29",68
bing.com,"2023-06-29",41
yandex.com,"2023-06-29",3
instagram,"2023-06-29",2
vc,"2023-06-29",2
partners,"2023-06-29",2
timepad,"2023-06-29",1
facebook,"2023-06-29",1
twitter,"2023-06-29",1
go.mail.ru,"2023-06-29",1
twitter.com,"2023-06-29",1
organic,"2023-06-30",1068
yandex,"2023-06-30",1008
google,"2023-06-30",777
telegram,"2023-06-30",91
vk,"2023-06-30",85
admitad,"2023-06-30",72
bing.com,"2023-06-30",47
vk-senler,"2023-06-30",31
facebook,"2023-06-30",4
twitter,"2023-06-30",2
tg,"2023-06-30",1
yandex.com,"2023-06-30",1
partners,"2023-06-30",1
rutube,"2023-06-30",1
vkontakte,"2023-06-30",1
zen,"2023-06-30",1
telegram.me,"2023-06-30",1
baidu.com,"2023-06-30",1
social,"2023-06-30",1
