"source","medium","campaign","week_of_june","leads_count"
vk,cpc,prof-java,"5 неделя (2 дня)",4
vk,cpc,freemium-python,"5 неделя (2 дня)",4
vk,cpc,prof-python,"5 неделя (2 дня)",3
vk,cpc,prof-frontend,"5 неделя (2 дня)",3
vk,cpc,freemium-java,"5 неделя (2 дня)",3
yandex,cpc,prof-frontend,"5 неделя (2 дня)",2
yandex,cpc,base-java,"5 неделя (2 дня)",1
telegram,cpp,base-java,"5 неделя (2 дня)",1
yandex,cpc,prof-python,"5 неделя (2 дня)",1
yandex,cpc,base-python,"5 неделя (2 дня)",1
yandex,cpc,base-frontend,"5 неделя (2 дня)",1
telegram,cpp,prof-python,"5 неделя (2 дня)",1
telegram,cpp,prof-java,"5 неделя (2 дня)",1
yandex,cpc,prof-java,"5 неделя (2 дня)",1
vk,cpc,base-python,"5 неделя (2 дня)",1
yandex,cpc,prof-professions-brand,"5 неделя (2 дня)",1
yandex,cpc,prof-professions-retarget,"5 неделя (2 дня)",1
