"source","medium","campaign","week_of_june","visitors_count"
vk,social,dod-java,"1 неделя",1
partners,cpc,prof-python,"1 неделя",1
vk,social,dod-frontend,"1 неделя",1
podcast,social,unpack,"1 неделя",1
public,social,open_lectures23,"1 неделя",1
yandex-direct,cpm,"00788899","1 неделя",1
slack,social,base_alg,"1 неделя",1
Yandex,cpm,"01097402","1 неделя",1
telegram,cpm,base,"1 неделя",1
telegram,cpm,base_java,"1 неделя",1
yandex-direct,cpc,"68583881","1 неделя",1
vk,cpp,dod-frontend,"1 неделя",1
Yandex,cpc,"16951197","1 неделя",1
telegram,cpm,frontend,"1 неделя",1
yandex-direct,cpc,"51752512","1 неделя",1
vk,cpm,java,"1 неделя",1
telegram,cpm,python,"1 неделя",1
vk,cpm,base,"1 неделя",1
vk,cpc,python,"1 неделя",1
vk,cpc,prof-qa,"1 неделя",1
telegram,cpp,base-php,"1 неделя",1
telegram,cpp,dod-frontend,"1 неделя",1
vk,cpc,php,"1 неделя",1
vk,cpc,frontend,"1 неделя",1
telegram,cpp,dod-professions,"1 неделя",1
Yandex,cpm,"94599791","1 неделя",1
telegram,cpp,prof-data-analytics,"1 неделя",1
admitad,cpa,"442763","1 неделя",1
vk,cpc,base,"1 неделя",1
telegram,cpp,prof-php,"1 неделя",1
twitter.com,social,svezhiy-vzglyad-na-prohozhdenie-proektov-ot,"1 неделя",1
twitter.com,social,buffer,"1 неделя",1
twitter,social,my-to--chto-my-skrollim-kak-programmistu,"1 неделя",1
yandex-direct,cpc,"34668848","1 неделя",1
telegram,social,base-java,"1 неделя",1
telegram,social,base-python,"1 неделя",1
google,organic,,"2 неделя",27083
organic,organic,,"2 неделя",8926
vk,cpc,prof-python,"2 неделя",1002
vk,cpc,freemium-frontend,"2 неделя",1000
vk,cpc,prof-java,"2 неделя",853
vk,cpc,prof-data-analytics,"2 неделя",801
vk,cpc,freemium-python,"2 неделя",669
vk,cpc,freemium-java,"2 неделя",657
vk,cpc,base-python,"2 неделя",614
vk,cpc,prof-frontend,"2 неделя",610
admitad,cpa,admitad,"2 неделя",357
yandex,cpc,freemium,"2 неделя",353
bing.com,organic,,"2 неделя",286
yandex,cpc,prof-python,"2 неделя",274
yandex,cpc,prof-frontend,"2 неделя",270
yandex,cpc,prof-java,"2 неделя",246
timepad,cpp,base-frontend,"2 неделя",136
vk-senler,cpc,freemium,"2 неделя",113
telegram,cpp,base-frontend,"2 неделя",108
yandex,cpc,base-java,"2 неделя",98
yandex,cpc,base-python,"2 неделя",88
yandex,cpc,prof-professions-brand,"2 неделя",82
vk,cpm,prof-data-analytics,"2 неделя",72
yandex,cpc,base-frontend,"2 неделя",71
telegram,cpp,prof-python,"2 неделя",53
yandex,cpc,prof-data-analytics,"2 неделя",49
yandex,cpc,prof-professions-retarget,"2 неделя",45
vk,cpp,base-frontend,"2 неделя",32
telegram,social,dod-professions,"2 неделя",31
baidu.com,organic,,"2 неделя",29
yandex,cpc,dod-frontend,"2 неделя",25
vk,cpm,prof-frontend,"2 неделя",24
yandex,cpc,dod-professions,"2 неделя",24
telegram,cpp,base-python,"2 неделя",20
telegram,cpp,prof-java,"2 неделя",19
vk,cpp,dod-frontend,"2 неделя",18
tproger,cpc,dod-frontend,"2 неделя",18
yandex,cpc,dod-java,"2 неделя",16
yandex,cpc,dod-python-java,"2 неделя",16
yandex.com,organic,,"2 неделя",14
vk,social,hexlet-blog,"2 неделя",14
vk,social,base-python,"2 неделя",13
telegram,cpp,base-java,"2 неделя",13
yandex,cpc,base-professions-retarget,"2 неделя",13
vk,social,all-courses,"2 неделя",12
telegram,cpp,dod-frontend,"2 неделя",12
vk,social,general,"2 неделя",11
yandex,cpc,dod-php,"2 неделя",11
telegram,cpp,prof-frontend,"2 неделя",9
yandex,cpc,dod-qa,"2 неделя",9
telegram,social,course_completed,"2 неделя",8
telegram,social,hexlet-blog,"2 неделя",7
vk,social,base-frontend,"2 неделя",6
vk-senler,cpc,dod-frontend,"2 неделя",6
vk,social,prof-python,"2 неделя",5
telegram,social,promo,"2 неделя",5
vc,cpp,dod-frontend,"2 неделя",5
go.mail.ru,organic,,"2 неделя",5
vk,social,base-java,"2 неделя",4
vk,social,prof-rails,"2 неделя",4
vk,social,dod-professions,"2 неделя",4
telegram,cpp,dod-php,"2 неделя",4
twitter,social,hexlet-blog,"2 неделя",4
vk-senler,cpc,dod-professions,"2 неделя",4
google,cpc,frontend,"2 неделя",3
zen,social,all-courses,"2 неделя",3
vc,cpp,dod-professions,"2 неделя",3
vk,cpp,intensive-python,"2 неделя",3
zen,social,hexlet-blog,"2 неделя",2
twitter,social,devushki_v_it,"2 неделя",2
vk,social,dod-frontend,"2 неделя",2
telegram,social,mdtruehaskell--funktsionalnyy-yazyk,"2 неделя",2
vk,social,promo,"2 неделя",2
google,cpc,freemium,"2 неделя",2
telegram,cpp,dod-java,"2 неделя",2
vk,social,hexlet.io/my,"2 неделя",2
twitter,social,promo,"2 неделя",2
vk,social,dod-java,"2 неделя",2
search.ukr.net,organic,,"2 неделя",2
facebook,social,how-to-sleep,"2 неделя",2
mytarget,cpc,freemium,"2 неделя",2
vk,cpm,base,"2 неделя",2
telegram,social,mdtrue*chtenie-chuzhogo-koda--odin-iz-o,"2 неделя",1
Yandex,cpc,"42790821","2 неделя",1
Yandex,cpc,"80100720","2 неделя",1
Yandex,cpc,"87255026","2 неделя",1
Yandex,cpm,"25530592","2 неделя",1
admitad,cpc,"442763","2 неделя",1
dzen,social,dzen-post,"2 неделя",1
facebook,cpc,freemium.ua-by,"2 неделя",1
facebook,cpc,python,"2 неделя",1
facebook,cpm,freemium-en,"2 неделя",1
facebook,social,course_completed,"2 неделя",1
facebook,social,hexlet-blog,"2 неделя",1
facebook,social,my-sozdali-kurs-osnovy-redis-pro-rabot,"2 неделя",1
facebook,social,vorchanie-dedushki-kak-ya-v-69-let-uchu-python,"2 неделя",1
facebook.com,social,buffer,"2 неделя",1
facebook.com,social,mozhno-li-ustroitsya-na-rabotu-posle-heks,"2 неделя",1
instagram,social,base-java,"2 неделя",1
instagram,social,hexlet-blog,"2 неделя",1
rutube,social,all-courses,"2 неделя",1
social,youtube,chistie-funktsii,"2 неделя",1
telegram,cpm,base_java,"2 неделя",1
telegram,cpm,base_python,"2 неделя",1
telegram,cpm,frontend,"2 неделя",1
telegram,cpp,intensive-python,"2 неделя",1
telegram,cpp,prof-data-analytics,"2 неделя",1
telegram,social,avtor-napisal-etu-zametku--kogda-odin-iz,"2 неделя",1
telegram,social,glavnye-instrumenty--servisy-i-podhody,"2 неделя",1
telegram,social,igry--kotorye-pomogut-praktikovatsya-v-p,"2 неделя",1
telegram,social,kak-gumanitariy-stal-bekend-razrabotchiko,"2 неделя",1
telegram,social,mdtrue**razrabotchik-heksleta-andrey-m,"2 неделя",1
telegram,social,my-znaem-dovolno-mnogo-o-strukturah-dan,"2 неделя",1
telegram,social,nachinayuschie-razrabotchiki-chasto-zaglyadyvayu,"2 неделя",1
telegram,social,navernyaka-vy-slyshali-mnenie--chto-podhod,"2 неделя",1
telegram,social,oshibki-pri-samostoyatelnoy-podgotovke-k-resheniyu-algoritmicheskih-zadach-na-intervyu,"2 неделя",1
telegram,social,privet--menya-zovut-dasha--mne-26-let.-ya,"2 неделя",1
telegram,social,rabotay-bez-oglyadki-na-ogranicheniya-kak,"2 неделя",1
telegram,social,svitch--ochen-prostaya-konstruktsiya--kotor,"2 неделя",1
telegram,social,typescript,"2 неделя",1
telegram,social,webinars,"2 неделя",1
telegram,social,zabluditsya-v-tryoh-sosnah--no-vyyti-k-zv,"2 неделя",1
telegram,social,,"2 неделя",1
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,social,course_completed,"2 неделя",1
telegram.me,social,klassicheskaya-zadachka-fizzbuzz-na-hekslet,"2 неделя",1
telegram.me,social,lyubite-chitat-knigi--nash-marketolog-nata,"2 неделя",1
telegram.me,social,na-hekslet-poyavilis-novye-ispytaniya-v-k,"2 неделя",1
telegram.me,social,printsipy-programmirovaniya-heksletahttp,"2 неделя",1
tg,social,codecamp,"2 неделя",1
twitter,social,"51-letniy-student-heksleta-dmitriy-rassk","2 неделя",1
twitter,social,grokaem_algoritmy,"2 неделя",1
vk,cpc,base,"2 неделя",1
vk,cpc,dod-professions,"2 неделя",1
vk,cpc,freemium,"2 неделя",1
vk,cpc,frontend,"2 неделя",1
vk,cpc,java,"2 неделя",1
vk,cpc,php,"2 неделя",1
vk,cpc,prof-php,"2 неделя",1
vk,cpc,python,"2 неделя",1
vk,cpc,yaintern,"2 неделя",1
vk,cpm,base_python,"2 неделя",1
vk,cpm,php,"2 неделя",1
vk,cpp,dod-career,"2 неделя",1
vk,cpp,dod-php,"2 неделя",1
vk,cpp,dod-python-java,"2 неделя",1
vk,social,dod-php,"2 неделя",1
vk,social,english-soft,"2 неделя",1
vk,social,prof-data-analyst,"2 неделя",1
vk,social,prof-data-analytics,"2 неделя",1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,"2 неделя",1
vk-senler,cpc,base-python,"2 неделя",1
yandex-direct,cpc,"19183657","2 неделя",1
yandex-direct,cpc,"96566756","2 неделя",1
zen,social,hexlet,"2 неделя",1
zen,social,prof-data-analytics,"2 неделя",1
zen,social,prof-frontend,"2 неделя",1
google,organic,,"3 неделя",24012
organic,organic,,"3 неделя",7960
yandex,cpc,freemium,"3 неделя",1596
yandex,cpc,prof-python,"3 неделя",1185
yandex,cpc,prof-frontend,"3 неделя",1005
yandex,cpc,prof-java,"3 неделя",872
yandex,cpc,base-java,"3 неделя",402
admitad,cpa,admitad,"3 неделя",389
yandex,cpc,base-python,"3 неделя",368
yandex,cpc,prof-professions-brand,"3 неделя",340
yandex,cpc,base-frontend,"3 неделя",279
bing.com,organic,,"3 неделя",242
yandex,cpc,prof-data-analytics,"3 неделя",233
yandex,cpc,prof-professions-retarget,"3 неделя",179
yandex,cpc,dod-frontend,"3 неделя",127
vk-senler,cpc,freemium,"3 неделя",109
yandex,cpc,dod-professions,"3 неделя",105
vk,cpc,prof-python,"3 неделя",82
vk,cpc,prof-data-analytics,"3 неделя",72
yandex,cpc,dod-python-java,"3 неделя",62
yandex,cpc,dod-java,"3 неделя",59
telegram,cpp,base-frontend,"3 неделя",57
yandex,cpc,base-professions-retarget,"3 неделя",57
vk,cpc,prof-java,"3 неделя",56
yandex,cpc,dod-php,"3 неделя",52
yandex,cpc,dod-qa,"3 неделя",49
vk,cpc,prof-frontend,"3 неделя",48
vk,cpc,freemium-frontend,"3 неделя",46
vk,cpc,freemium-python,"3 неделя",45
vk,cpc,freemium-java,"3 неделя",36
telegram,cpp,prof-python,"3 неделя",27
telegram,cpp,prof-java,"3 неделя",23
telegram,social,dod-professions,"3 неделя",19
yandex.com,organic,,"3 неделя",18
vk,social,dod-professions,"3 неделя",18
vk,cpp,dod-python-java,"3 неделя",17
telegram,cpp,base-java,"3 неделя",15
vk,social,all-courses,"3 неделя",12
instagram,social,base-frontend,"3 неделя",10
vk,social,hexlet-blog,"3 неделя",9
vk-senler,cpc,dod-professions,"3 неделя",9
baidu.com,organic,,"3 неделя",9
telegram,cpp,base-python,"3 неделя",8
vk,social,general,"3 неделя",8
timepad,cpp,base-frontend,"3 неделя",8
vk,social,base-python,"3 неделя",8
instagram,social,prof-frontend,"3 неделя",8
vk,cpp,base-frontend,"3 неделя",7
telegram,cpp,prof-frontend,"3 неделя",7
telegram,social,course_completed,"3 неделя",6
instagram,social,prof-qa-auto,"3 неделя",6
vc,cpp,dod-professions,"3 неделя",5
vk,social,prof-python,"3 неделя",5
vk,cpp,dod-frontend,"3 неделя",5
go.mail.ru,organic,,"3 неделя",4
vk-senler,cpc,dod-frontend,"3 неделя",4
