"source","medium","campaign","week_of_june","visitors_count"
instagram,social,prof-qa-auto,"4 неделя",1
vk,social,matematika-ilnar,"4 неделя",1
vk,social,open_lectures23,"4 неделя",1
vk,social,planiruy-uchebu--fokusiruysya-na-protsesse,"4 неделя",1
instagram,social,prof-php,"4 неделя",1
vk,social,prof-data-analyst,"4 неделя",1
instagram,social,prof-java,"4 неделя",1
instagram,social,prof-fullstack,"4 неделя",1
vk,social,prof-qa,"4 неделя",1
instagram,social,prof-frontend,"4 неделя",1
zen_from_telegram,social,,"4 неделя",1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,"4 неделя",1
vk-group,cpc,dod-qa,"4 неделя",1
vk-senler,cpc,base-python,"4 неделя",1
instagram,social,base-pyton,"4 неделя",1
vk-senler,cpc,dod-php,"4 неделя",1
vk-senler,cpc,dod-python-java,"4 неделя",1
vkontakte,social,button-vk,"4 неделя",1
facebook,cpm,freemium-en,"4 неделя",1
facebook,cpc,python,"4 неделя",1
dzen,social,dzen_post,"4 неделя",1
admitad,cpa,"442763","4 неделя",1
yandex-direct,cpc,"18177858","4 неделя",1
zen,social,prof-python,"4 неделя",1
yandex-direct,cpc,"26980930","4 неделя",1
telegram,social,studenty-heksleta-inogda-rasstraivayutsya,"4 неделя",1
telegram,social,uyazvimost-v-java-ugrozhaet-sotnyam-tysyach,"4 неделя",1
yandex-direct,cpc,"57063851","4 неделя",1
telegram,social,mdtruevyrazitelnyy-javascript--arh,"4 неделя",1
telegram.me,social,kakoy-yazyk-programmirovaniya-vybrat-dlya,"4 неделя",1
telegram.me,social,neobhodimyy-minimum-linux-dlya-produktivn,"4 неделя",1
google,organic,,"5 неделя (2 дня)",6611
organic,organic,,"5 неделя (2 дня)",2101
yandex,cpc,freemium,"5 неделя (2 дня)",427
yandex,cpc,prof-python,"5 неделя (2 дня)",373
yandex,cpc,prof-frontend,"5 неделя (2 дня)",314
yandex,cpc,prof-java,"5 неделя (2 дня)",247
yandex,cpc,base-python,"5 неделя (2 дня)",138
admitad,cpa,admitad,"5 неделя (2 дня)",127
yandex,cpc,base-java,"5 неделя (2 дня)",113
yandex,cpc,prof-professions-brand,"5 неделя (2 дня)",80
bing.com,organic,,"5 неделя (2 дня)",79
yandex,cpc,base-frontend,"5 неделя (2 дня)",72
yandex,cpc,prof-data-analytics,"5 неделя (2 дня)",66
vk-senler,cpc,base-python,"5 неделя (2 дня)",61
telegram,cpp,base-python,"5 неделя (2 дня)",56
yandex,cpc,prof-professions-retarget,"5 неделя (2 дня)",44
yandex,cpc,dod-frontend,"5 неделя (2 дня)",38
telegram,cpp,base-java,"5 неделя (2 дня)",38
vk-senler,cpc,freemium,"5 неделя (2 дня)",36
telegram,social,hexlet-blog,"5 неделя (2 дня)",32
vk,cpc,freemium-frontend,"5 неделя (2 дня)",28
yandex,cpc,dod-professions,"5 неделя (2 дня)",26
vk,cpc,prof-java,"5 неделя (2 дня)",22
telegram,cpp,prof-java,"5 неделя (2 дня)",21
vk,cpc,prof-python,"5 неделя (2 дня)",20
yandex,cpc,dod-java,"5 неделя (2 дня)",19
yandex,cpc,dod-python-java,"5 неделя (2 дня)",19
telegram,cpp,base-frontend,"5 неделя (2 дня)",18
vk,cpc,freemium-python,"5 неделя (2 дня)",18
vk,cpc,prof-frontend,"5 неделя (2 дня)",17
vk,social,base-frontend,"5 неделя (2 дня)",12
telegram,cpp,prof-python,"5 неделя (2 дня)",11
vk,social,base-python,"5 неделя (2 дня)",10
vk,cpp,base-java,"5 неделя (2 дня)",10
yandex,cpc,dod-qa,"5 неделя (2 дня)",10
telegram,cpp,dod-qa,"5 неделя (2 дня)",9
yandex,cpc,dod-php,"5 неделя (2 дня)",9
vk,social,base-java,"5 неделя (2 дня)",8
yandex,cpc,base-professions-retarget,"5 неделя (2 дня)",7
vk,cpc,freemium-java,"5 неделя (2 дня)",6
vk,cpc,base-python,"5 неделя (2 дня)",6
vk,social,general,"5 неделя (2 дня)",6
yandex.com,organic,,"5 неделя (2 дня)",4
vk,cpp,intensive-python,"5 неделя (2 дня)",3
facebook,social,hexlet-blog,"5 неделя (2 дня)",3
vk,social,all-courses,"5 неделя (2 дня)",3
telegram,social,promo,"5 неделя (2 дня)",2
telegram,social,dod-professions,"5 неделя (2 дня)",2
vc,cpp,dod-qa,"5 неделя (2 дня)",2
vk,social,hexlet,"5 неделя (2 дня)",2
vk,social,prof-python,"5 неделя (2 дня)",2
vk,cpp,base-frontend,"5 неделя (2 дня)",2
twitter,social,promo,"5 неделя (2 дня)",2
telegram,cpp,dod-frontend,"5 неделя (2 дня)",1
instagram,social,prof-python,"5 неделя (2 дня)",1
telegram,cpp,dod-java,"5 неделя (2 дня)",1
vk,social,prof-data-analyst,"5 неделя (2 дня)",1
telegram,social,ni-dlya-kogo-ne-sekret--chto-iz-knig-mozhno,"5 неделя (2 дня)",1
telegram,social,course_completed,"5 неделя (2 дня)",1
vk,cpc,freemium,"5 неделя (2 дня)",1
telegram,cpp,prof-frontend,"5 неделя (2 дня)",1
timepad,cpp,base-frontend,"5 неделя (2 дня)",1
telegram.me,social,neobhodimyy-minimum-linux-dlya-produktivn,"5 неделя (2 дня)",1
vk,social,unpack,"5 неделя (2 дня)",1
instagram,social,hexlet-blog,"5 неделя (2 дня)",1
facebook,cpc,freemium,"5 неделя (2 дня)",1
facebook,cpm,freemium-en,"5 неделя (2 дня)",1
zen,social,prof-frontend,"5 неделя (2 дня)",1
vkontakte,social,button-vk,"5 неделя (2 дня)",1
vk-senler,cpc,dod-frontend,"5 неделя (2 дня)",1
go.mail.ru,organic,,"5 неделя (2 дня)",1
telegram,cpm,base,"5 неделя (2 дня)",1
vk,cpp,dod-qa,"5 неделя (2 дня)",1
social,youtube,php-open-lesson-260321,"5 неделя (2 дня)",1
vk,cpc,yaintern,"5 неделя (2 дня)",1
rutube,social,all-courses,"5 неделя (2 дня)",1
admitad,cpc,"183258","5 неделя (2 дня)",1
partners,cpm,prof-data-analytics,"5 неделя (2 дня)",1
twitter.com,social,chto-napisat-v-soprovoditelnom-pisme-i,"5 неделя (2 дня)",1
admitad,cpc,"442763","5 неделя (2 дня)",1
partners,cpm,all,"5 неделя (2 дня)",1
telegram,social,analitik-dannyh,"5 неделя (2 дня)",1
baidu.com,organic,,"5 неделя (2 дня)",1
twitter,social,hexlet-blog,"5 неделя (2 дня)",1
vk,cpc,prof-data-analytics,"5 неделя (2 дня)",1
telegram,cpp,dod-data-analytics,"5 неделя (2 дня)",1
vk,cpc,frontend,"5 неделя (2 дня)",1
tg,social,internship_summer23,"5 неделя (2 дня)",1
