"source","medium","campaign","visit_date","visitors_count"
vk,cpc,freemium-python,"2023-06-03",122
vk,cpc,prof-frontend,"2023-06-03",122
vk,cpc,base-python,"2023-06-03",101
admitad,cpa,admitad,"2023-06-03",61
bing.com,organic,,"2023-06-03",31
vk-senler,cpc,freemium,"2023-06-03",21
telegram,cpp,base-python,"2023-06-03",16
vk,cpm,prof-data-analytics,"2023-06-03",12
zen,social,promo,"2023-06-03",9
telegram,cpp,base-frontend,"2023-06-03",7
baidu.com,organic,,"2023-06-03",5
telegram,social,course_completed,"2023-06-03",3
telegram,cpp,prof-frontend,"2023-06-03",3
vk,cpm,prof-frontend,"2023-06-03",3
yandex.com,organic,,"2023-06-03",3
telegram,cpp,base-java,"2023-06-03",3
vk,social,all-courses,"2023-06-03",3
vk,cpp,dod-php,"2023-06-03",3
vk,social,hexlet-blog,"2023-06-03",2
google,cpc,frontend,"2023-06-03",2
telegram,social,hexlet-blog,"2023-06-03",2
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,social,course_completed,"2023-06-03",1
yandex-direct,cpc,"16645437","2023-06-03",1
telegram,cpp,prof-python,"2023-06-03",1
vk,social,promo,"2023-06-03",1
vk,cpm,java,"2023-06-03",1
zen,social,all-courses,"2023-06-03",1
vk,social,prof-python,"2023-06-03",1
telegram,cpp,prof-java,"2023-06-03",1
twitter,social,hexlet-blog,"2023-06-03",1
vc,cpp,dod-php,"2023-06-03",1
twitter,social,course_completed,"2023-06-03",1
Yandex,cpc,"59988739","2023-06-03",1
dzen,social,dzen_post,"2023-06-03",1
facebook,cpm,freemium-en,"2023-06-03",1
telegram,cpp,dod-java,"2023-06-03",1
admitad,cpa,"442763","2023-06-03",1
Yandex,cpm,"94599791","2023-06-03",1
Yandex,cpc,"02284027","2023-06-03",1
vc,cpp,dod-frontend,"2023-06-03",1
vk,social,base-frontend,"2023-06-03",1
vk,social,base-python,"2023-06-03",1
vk,social,course_completed,"2023-06-03",1
telegram,social,webinars,"2023-06-03",1
telegram,social,base-java,"2023-06-03",1
google,organic,,"2023-06-04",1032
organic,organic,,"2023-06-04",951
vk,cpc,freemium-frontend,"2023-06-04",228
vk,cpc,prof-python,"2023-06-04",215
vk,cpc,prof-java,"2023-06-04",189
tproger,cpc,dod-frontend,"2023-06-04",157
vk,cpc,freemium-java,"2023-06-04",150
vk,cpc,base-python,"2023-06-04",145
vk,cpc,prof-data-analytics,"2023-06-04",133
vk,cpc,freemium-python,"2023-06-04",131
vk,cpc,prof-frontend,"2023-06-04",113
telegram,cpp,base-python,"2023-06-04",53
admitad,cpa,admitad,"2023-06-04",49
bing.com,organic,,"2023-06-04",38
vk,cpm,prof-data-analytics,"2023-06-04",24
vk-senler,cpc,freemium,"2023-06-04",15
telegram,cpp,base-java,"2023-06-04",12
telegram,cpp,base-frontend,"2023-06-04",12
vk,cpm,prof-frontend,"2023-06-04",11
baidu.com,organic,,"2023-06-04",5
vk,social,hexlet-blog,"2023-06-04",4
telegram,social,hexlet-blog,"2023-06-04",4
vk,social,all-courses,"2023-06-04",3
vk,social,general,"2023-06-04",3
telegram,cpp,prof-python,"2023-06-04",3
vk,cpp,dod-php,"2023-06-04",3
twitter,social,hexlet-blog,"2023-06-04",2
telegram,social,special,"2023-06-04",1
telegram,cpp,dod-java,"2023-06-04",1
admitad,cpc,"442763","2023-06-04",1
zen,social,promo,"2023-06-04",1
dzen,social,dzen_post,"2023-06-04",1
vk,social,prof-qa,"2023-06-04",1
telegram.me,social,vsyo--chto-nuzhno-znat--chtoby-spat-kachest,"2023-06-04",1
telegram,cpp,intensive-python,"2023-06-04",1
vk,cpc,freemium,"2023-06-04",1
telegram.me,social,kogda-to-ya-poobeschal-napisat-prodolzhenie,"2023-06-04",1
telegram,cpp,prof-frontend,"2023-06-04",1
vk,social,prof-data-analytics,"2023-06-04",1
telegram.me,social,pochemu-funktsiya-vozvraschaet-rezultat--p,"2023-06-04",1
twitter,social,promo,"2023-06-04",1
twitter.com,social,svezhiy-vzglyad-na-prohozhdenie-proektov-ot,"2023-06-04",1
telegram,social,mdtruena-hekslete-poyavilsya-esche-odin-no,"2023-06-04",1
instagram,social,base-php,"2023-06-04",1
Yandex,cpc,"55670133","2023-06-04",1
telegram,cpp,prof-java,"2023-06-04",1
vk,social,course_completed,"2023-06-04",1
telegram,cpm,base_java,"2023-06-04",1
vk,social,prof-python,"2023-06-04",1
instagram,social,prof-php,"2023-06-04",1
telegram.me,social,kognitivnye-iskazheniya-v-programmirovanii,"2023-06-04",1
admitad,cpc,"183258","2023-06-04",1
vk,cpc,php,"2023-06-04",1
telegram,social,promo,"2023-06-04",1
google,organic,,"2023-06-05",6267
organic,organic,,"2023-06-05",1220
vk,cpc,freemium-frontend,"2023-06-05",196
vk,cpc,prof-java,"2023-06-05",192
vk,cpc,prof-python,"2023-06-05",185
vk,cpc,prof-data-analytics,"2023-06-05",154
vk,cpc,freemium-python,"2023-06-05",140
vk,cpc,freemium-java,"2023-06-05",139
vk,cpc,base-python,"2023-06-05",124
vk,cpc,prof-frontend,"2023-06-05",110
admitad,cpa,admitad,"2023-06-05",61
bing.com,organic,,"2023-06-05",60
tproger,cpc,dod-frontend,"2023-06-05",49
telegram,cpp,base-python,"2023-06-05",40
telegram,cpp,base-frontend,"2023-06-05",33
vk,cpm,prof-data-analytics,"2023-06-05",24
telegram,cpp,base-java,"2023-06-05",20
vk-senler,cpc,dod-php,"2023-06-05",13
vk-senler,cpc,freemium,"2023-06-05",11
telegram,social,hexlet-blog,"2023-06-05",6
vk,social,base-java,"2023-06-05",5
vk,cpp,dod-php,"2023-06-05",5
telegram,cpp,prof-java,"2023-06-05",5
telegram,cpp,dod-java,"2023-06-05",5
vk,social,all-courses,"2023-06-05",4
telegram,cpp,prof-python,"2023-06-05",4
vk,social,hexlet-blog,"2023-06-05",4
vk,social,base-python,"2023-06-05",4
telegram,social,course_completed,"2023-06-05",3
vk,cpm,prof-frontend,"2023-06-05",3
