"source","medium","campaign","visit_date","visitors_count"
vk,social,promo,"2023-06-10",1
admitad,cpc,"442763","2023-06-10",1
facebook,social,course_completed,"2023-06-10",1
vk,cpc,frontend,"2023-06-10",1
telegram,social,privet--menya-zovut-dasha--mne-26-let.-ya,"2023-06-10",1
vk,social,base-frontend,"2023-06-10",1
telegram,cpp,dod-frontend,"2023-06-10",1
zen,social,hexlet,"2023-06-10",1
go.mail.ru,organic,,"2023-06-10",1
vk,social,prof-python,"2023-06-10",1
google,organic,,"2023-06-11",3635
organic,organic,,"2023-06-11",1396
vk,cpc,freemium-frontend,"2023-06-11",214
vk,cpc,prof-python,"2023-06-11",187
vk,cpc,prof-java,"2023-06-11",147
vk,cpc,prof-data-analytics,"2023-06-11",145
vk,cpc,freemium-java,"2023-06-11",127
vk,cpc,prof-frontend,"2023-06-11",127
vk,cpc,base-python,"2023-06-11",115
vk,cpc,freemium-python,"2023-06-11",113
admitad,cpa,admitad,"2023-06-11",61
bing.com,organic,,"2023-06-11",42
vk-senler,cpc,freemium,"2023-06-11",18
vk,cpm,prof-data-analytics,"2023-06-11",14
telegram,cpp,base-frontend,"2023-06-11",8
vk,cpp,dod-frontend,"2023-06-11",6
baidu.com,organic,,"2023-06-11",5
vk,cpm,prof-frontend,"2023-06-11",4
vk,social,general,"2023-06-11",4
telegram,social,course_completed,"2023-06-11",3
vk,cpp,base-frontend,"2023-06-11",3
vk,social,all-courses,"2023-06-11",2
vk,social,base-python,"2023-06-11",2
vk,social,hexlet-blog,"2023-06-11",2
telegram,cpp,prof-frontend,"2023-06-11",2
twitter,social,hexlet-blog,"2023-06-11",2
timepad,cpp,base-frontend,"2023-06-11",2
vk,social,base-java,"2023-06-11",2
vk,cpc,python,"2023-06-11",1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,"2023-06-11",1
facebook,social,how-to-sleep,"2023-06-11",1
telegram,social,igry--kotorye-pomogut-praktikovatsya-v-p,"2023-06-11",1
telegram,cpm,base_python,"2023-06-11",1
vk,social,prof-python,"2023-06-11",1
telegram,social,zabluditsya-v-tryoh-sosnah--no-vyyti-k-zv,"2023-06-11",1
vk,social,hexlet.io/my,"2023-06-11",1
vk,cpc,java,"2023-06-11",1
yandex.com,organic,,"2023-06-11",1
telegram,social,rabotay-bez-oglyadki-na-ogranicheniya-kak,"2023-06-11",1
telegram,cpp,prof-data-analytics,"2023-06-11",1
telegram,social,hexlet-blog,"2023-06-11",1
google,cpc,freemium,"2023-06-11",1
telegram,social,,"2023-06-11",1
instagram,social,hexlet-blog,"2023-06-11",1
telegram,cpp,dod-frontend,"2023-06-11",1
twitter,social,promo,"2023-06-11",1
google,cpc,frontend,"2023-06-11",1
telegram,social,oshibki-pri-samostoyatelnoy-podgotovke-k-resheniyu-algoritmicheskih-zadach-na-intervyu,"2023-06-11",1
telegram,social,promo,"2023-06-11",1
telegram,social,navernyaka-vy-slyshali-mnenie--chto-podhod,"2023-06-11",1
go.mail.ru,organic,,"2023-06-11",1
google,organic,,"2023-06-12",4688
organic,organic,,"2023-06-12",1729
vk,cpc,prof-python,"2023-06-12",201
vk,cpc,freemium-frontend,"2023-06-12",185
vk,cpc,prof-java,"2023-06-12",171
vk,cpc,prof-data-analytics,"2023-06-12",165
vk,cpc,freemium-java,"2023-06-12",133
vk,cpc,base-python,"2023-06-12",123
vk,cpc,freemium-python,"2023-06-12",121
vk,cpc,prof-frontend,"2023-06-12",117
bing.com,organic,,"2023-06-12",70
admitad,cpa,admitad,"2023-06-12",55
vk-senler,cpc,freemium,"2023-06-12",32
telegram,cpp,base-frontend,"2023-06-12",23
vk,cpm,prof-data-analytics,"2023-06-12",14
timepad,cpp,base-frontend,"2023-06-12",8
vk,cpm,prof-frontend,"2023-06-12",6
telegram,cpp,base-java,"2023-06-12",4
vk,cpp,base-frontend,"2023-06-12",4
vk,social,prof-rails,"2023-06-12",3
telegram,cpp,dod-frontend,"2023-06-12",3
telegram,cpp,base-python,"2023-06-12",3
vk,social,general,"2023-06-12",3
vk,social,hexlet-blog,"2023-06-12",3
vk,social,prof-python,"2023-06-12",3
yandex.com,organic,,"2023-06-12",2
vk,cpp,dod-frontend,"2023-06-12",2
yandex-direct,cpc,"96566756","2023-06-12",1
twitter,social,promo,"2023-06-12",1
zen,social,hexlet-blog,"2023-06-12",1
Yandex,cpm,"25530592","2023-06-12",1
zen,social,all-courses,"2023-06-12",1
telegram,social,course_completed,"2023-06-12",1
admitad,cpc,"442763","2023-06-12",1
baidu.com,organic,,"2023-06-12",1
vk,cpm,base_python,"2023-06-12",1
telegram,cpp,prof-frontend,"2023-06-12",1
twitter,social,devushki_v_it,"2023-06-12",1
facebook,social,how-to-sleep,"2023-06-12",1
facebook,social,vorchanie-dedushki-kak-ya-v-69-let-uchu-python,"2023-06-12",1
facebook.com,social,mozhno-li-ustroitsya-na-rabotu-posle-heks,"2023-06-12",1
google,cpc,freemium,"2023-06-12",1
telegram,social,promo,"2023-06-12",1
vk,cpp,intensive-python,"2023-06-12",1
tg,social,codecamp,"2023-06-12",1
vk,social,all-courses,"2023-06-12",1
vk-senler,cpc,base-python,"2023-06-12",1
instagram,social,base-java,"2023-06-12",1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,"2023-06-12",1
vk,social,promo,"2023-06-12",1
vk,social,base-java,"2023-06-12",1
vk,social,base-python,"2023-06-12",1
organic,organic,,"2023-06-13",1191
google,organic,,"2023-06-13",1074
yandex,cpc,freemium,"2023-06-13",138
yandex,cpc,prof-frontend,"2023-06-13",105
yandex,cpc,prof-python,"2023-06-13",104
yandex,cpc,prof-java,"2023-06-13",83
vk,cpc,prof-python,"2023-06-13",70
admitad,cpa,admitad,"2023-06-13",68
vk,cpc,freemium-frontend,"2023-06-13",64
bing.com,organic,,"2023-06-13",61
vk,cpc,freemium-python,"2023-06-13",57
vk,cpc,freemium-java,"2023-06-13",57
vk,cpc,prof-data-analytics,"2023-06-13",52
vk,cpc,prof-java,"2023-06-13",47
vk,cpc,base-python,"2023-06-13",41
yandex,cpc,base-java,"2023-06-13",41
vk,cpc,prof-frontend,"2023-06-13",37
yandex,cpc,base-python,"2023-06-13",35
yandex,cpc,prof-professions-brand,"2023-06-13",33
yandex,cpc,base-frontend,"2023-06-13",29
telegram,cpp,base-frontend,"2023-06-13",24
vk-senler,cpc,freemium,"2023-06-13",22
yandex,cpc,prof-professions-retarget,"2023-06-13",18
yandex,cpc,prof-data-analytics,"2023-06-13",17
telegram,cpp,prof-python,"2023-06-13",13
yandex,cpc,dod-professions,"2023-06-13",12
yandex,cpc,dod-frontend,"2023-06-13",10
telegram,cpp,prof-java,"2023-06-13",9
yandex,cpc,dod-python-java,"2023-06-13",9
timepad,cpp,base-frontend,"2023-06-13",5
yandex,cpc,base-professions-retarget,"2023-06-13",5
telegram,social,course_completed,"2023-06-13",4
yandex,cpc,dod-java,"2023-06-13",4
vk,cpm,prof-data-analytics,"2023-06-13",4
baidu.com,organic,,"2023-06-13",4
vk,social,base-frontend,"2023-06-13",3
telegram,cpp,base-java,"2023-06-13",3
vc,cpp,dod-professions,"2023-06-13",3
yandex,cpc,dod-php,"2023-06-13",3
telegram,cpp,prof-frontend,"2023-06-13",3
yandex.com,organic,,"2023-06-13",3
vk,social,hexlet-blog,"2023-06-13",2
vk,social,base-python,"2023-06-13",2
telegram,cpp,base-python,"2023-06-13",2
yandex,cpc,dod-qa,"2023-06-13",2
twitter,social,hexlet-blog,"2023-06-13",2
telegram,cpp,dod-php,"2023-06-13",2
vc,cpp,dod-frontend,"2023-06-13",2
vk,cpp,dod-frontend,"2023-06-13",2
vk,social,all-courses,"2023-06-13",2
vk,social,english-soft,"2023-06-13",1
vk,social,general,"2023-06-13",1
telegram,cpm,base_java,"2023-06-13",1
vk,social,hexlet.io/my,"2023-06-13",1
vk,social,prof-python,"2023-06-13",1
vk,social,prof-rails,"2023-06-13",1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,"2023-06-13",1
vk,cpp,intensive-python,"2023-06-13",1
twitter,social,promo,"2023-06-13",1
vk,cpp,dod-python-java,"2023-06-13",1
vk,cpp,dod-php,"2023-06-13",1
go.mail.ru,organic,,"2023-06-13",1
facebook,social,my-sozdali-kurs-osnovy-redis-pro-rabot,"2023-06-13",1
vk,cpp,base-frontend,"2023-06-13",1
facebook,social,hexlet-blog,"2023-06-13",1
facebook,cpc,python,"2023-06-13",1
vk,cpm,prof-frontend,"2023-06-13",1
vk,cpc,dod-professions,"2023-06-13",1
telegram,cpp,prof-data-analytics,"2023-06-13",1
twitter,social,grokaem_algoritmy,"2023-06-13",1
vk,cpc,base,"2023-06-13",1
zen,social,all-courses,"2023-06-13",1
telegram,social,hexlet-blog,"2023-06-13",1
Yandex,cpc,"80100720","2023-06-13",1
google,organic,,"2023-06-14",6299
organic,organic,,"2023-06-14",1884
yandex,cpc,freemium,"2023-06-14",215
yandex,cpc,prof-python,"2023-06-14",170
yandex,cpc,prof-frontend,"2023-06-14",165
yandex,cpc,prof-java,"2023-06-14",163
admitad,cpa,admitad,"2023-06-14",71
bing.com,organic,,"2023-06-14",64
yandex,cpc,base-java,"2023-06-14",57
yandex,cpc,base-python,"2023-06-14",53
yandex,cpc,prof-professions-brand,"2023-06-14",49
timepad,cpp,base-frontend,"2023-06-14",44
yandex,cpc,base-frontend,"2023-06-14",42
yandex,cpc,prof-data-analytics,"2023-06-14",32
telegram,social,dod-professions,"2023-06-14",31
yandex,cpc,prof-professions-retarget,"2023-06-14",27
vk-senler,cpc,freemium,"2023-06-14",24
telegram,cpp,prof-python,"2023-06-14",15
yandex,cpc,dod-frontend,"2023-06-14",15
vk,cpc,prof-data-analytics,"2023-06-14",13
telegram,cpp,base-frontend,"2023-06-14",13
yandex,cpc,dod-professions,"2023-06-14",12
yandex,cpc,dod-java,"2023-06-14",12
vk,cpc,freemium-frontend,"2023-06-14",11
vk,cpc,freemium-python,"2023-06-14",9
yandex,cpc,dod-php,"2023-06-14",8
yandex,cpc,base-professions-retarget,"2023-06-14",8
yandex,cpc,dod-python-java,"2023-06-14",7
vk,cpp,dod-frontend,"2023-06-14",7
vk,cpc,prof-python,"2023-06-14",7
yandex,cpc,dod-qa,"2023-06-14",7
vk,cpc,prof-frontend,"2023-06-14",6
telegram,cpp,base-python,"2023-06-14",6
vk,cpc,prof-java,"2023-06-14",6
vk,social,base-python,"2023-06-14",5
vk-senler,cpc,dod-frontend,"2023-06-14",5
yandex.com,organic,,"2023-06-14",5
baidu.com,organic,,"2023-06-14",5
vk,social,dod-professions,"2023-06-14",4
vk,social,all-courses,"2023-06-14",4
vk-senler,cpc,dod-professions,"2023-06-14",3
telegram,cpp,prof-java,"2023-06-14",3
twitter,social,hexlet-blog,"2023-06-14",3
vc,cpp,dod-frontend,"2023-06-14",3
vk,social,prof-python,"2023-06-14",3
vk,social,general,"2023-06-14",3
telegram,social,promo,"2023-06-14",3
telegram,social,hexlet-blog,"2023-06-14",2
vk,social,hexlet-blog,"2023-06-14",2
telegram,cpp,base-java,"2023-06-14",2
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,social,course_completed,"2023-06-14",1
dzen,social,dzen-post,"2023-06-14",1
facebook,cpc,freemium.ua-by,"2023-06-14",1
mytarget,cpc,freemium,"2023-06-14",1
telegram,cpp,dod-frontend,"2023-06-14",1
telegram,cpp,dod-php,"2023-06-14",1
telegram,cpp,prof-frontend,"2023-06-14",1
telegram,social,course_completed,"2023-06-14",1
telegram,social,mdtruehaskell--funktsionalnyy-yazyk,"2023-06-14",1
twitter,social,"51-letniy-student-heksleta-dmitriy-rassk","2023-06-14",1
twitter,social,promo,"2023-06-14",1
vk,social,base-java,"2023-06-14",1
vk,social,dod-frontend,"2023-06-14",1
yandex-direct,cpc,"19183657","2023-06-14",1
zen,social,all-courses,"2023-06-14",1
zen,social,prof-frontend,"2023-06-14",1
google,organic,,"2023-06-15",6115
organic,organic,,"2023-06-15",1216
yandex,cpc,freemium,"2023-06-15",238
yandex,cpc,prof-frontend,"2023-06-15",164
yandex,cpc,prof-python,"2023-06-15",156
yandex,cpc,prof-java,"2023-06-15",130
admitad,cpa,admitad,"2023-06-15",83
yandex,cpc,base-java,"2023-06-15",61
bing.com,organic,,"2023-06-15",60
yandex,cpc,prof-professions-brand,"2023-06-15",49
yandex,cpc,base-python,"2023-06-15",49
yandex,cpc,base-frontend,"2023-06-15",38
yandex,cpc,prof-data-analytics,"2023-06-15",28
yandex,cpc,prof-professions-retarget,"2023-06-15",27
vk-senler,cpc,freemium,"2023-06-15",23
yandex,cpc,dod-frontend,"2023-06-15",20
yandex,cpc,dod-professions,"2023-06-15",17
vk,cpc,prof-data-analytics,"2023-06-15",12
telegram,cpp,base-frontend,"2023-06-15",12
vk,cpc,freemium-python,"2023-06-15",10
yandex,cpc,dod-python-java,"2023-06-15",10
vk,cpc,freemium-frontend,"2023-06-15",8
telegram,social,dod-professions,"2023-06-15",8
yandex,cpc,base-professions-retarget,"2023-06-15",8
yandex,cpc,dod-java,"2023-06-15",8
telegram,cpp,prof-python,"2023-06-15",7
yandex,cpc,dod-qa,"2023-06-15",7
vk,cpc,prof-frontend,"2023-06-15",7
vk,social,all-courses,"2023-06-15",6
yandex,cpc,dod-php,"2023-06-15",6
vk,cpc,freemium-java,"2023-06-15",6
vk,cpc,prof-java,"2023-06-15",6
telegram,cpp,prof-java,"2023-06-15",6
vk,cpc,prof-python,"2023-06-15",5
telegram,social,course_completed,"2023-06-15",4
vk,social,hexlet-blog,"2023-06-15",4
baidu.com,organic,,"2023-06-15",4
vk,cpp,dod-frontend,"2023-06-15",3
vk,cpp,base-frontend,"2023-06-15",3
vk-senler,cpc,dod-frontend,"2023-06-15",3
telegram,cpp,base-java,"2023-06-15",3
telegram,social,hexlet-blog,"2023-06-15",2
dzen,social,dzen_post,"2023-06-15",2
telegram,cpp,base-python,"2023-06-15",2
timepad,cpp,base-frontend,"2023-06-15",2
yandex.com,organic,,"2023-06-15",2
slack,social,hexlet,"2023-06-15",1
facebook,cpc,python,"2023-06-15",1
twitter,social,promo,"2023-06-15",1
twitter,social,podrobno-rasskazyvaem--pochemu-pleysholde,"2023-06-15",1
twitter,social,oop-i-arhitektura-koda-kirill-mokevni,"2023-06-15",1
vc,cpp,dod-professions,"2023-06-15",1
telegram,cpm,java,"2023-06-15",1
vk,social,base-python,"2023-06-15",1
twitter,social,hexlet-blog,"2023-06-15",1
twitter,social,grokaem_algoritmy,"2023-06-15",1
zen,social,all-courses,"2023-06-15",1
vk,social,dod-frontend,"2023-06-15",1
twitter,social,all-courses,"2023-06-15",1
podcast,social,all-courses,"2023-06-15",1
vk,social,dod-professions,"2023-06-15",1
vk,social,general,"2023-06-15",1
telegram,cpp,dod-frontend,"2023-06-15",1
vk,cpm,prof-python,"2023-06-15",1
telegram,social,webinars,"2023-06-15",1
twitter.com,social,istorii-uspeha-nashih-uchenikov-i-vypuskni,"2023-06-15",1
telegram,cpp,prof-frontend,"2023-06-15",1
vk,social,prof-python,"2023-06-15",1
instagram,social,hexlet-blog,"2023-06-15",1
instagram,social,base-pyton,"2023-06-15",1
telegram,social,promo,"2023-06-15",1
telegram,social,prof-qa,"2023-06-15",1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,"2023-06-15",1
vk,cpc,yaintern,"2023-06-15",1
instagram,social,all-courses,"2023-06-15",1
dzen,social,dzen-post,"2023-06-15",1
vkontakte,social,button-vk,"2023-06-15",1
google,organic,,"2023-06-16",5394
organic,organic,,"2023-06-16",1770
yandex,cpc,freemium,"2023-06-16",233
yandex,cpc,prof-python,"2023-06-16",168
yandex,cpc,prof-frontend,"2023-06-16",137
yandex,cpc,prof-java,"2023-06-16",112
yandex,cpc,base-java,"2023-06-16",59
admitad,cpa,admitad,"2023-06-16",58
yandex,cpc,base-python,"2023-06-16",51
bing.com,organic,,"2023-06-16",48
yandex,cpc,prof-professions-brand,"2023-06-16",48
yandex,cpc,base-frontend,"2023-06-16",44
yandex,cpc,prof-data-analytics,"2023-06-16",39
yandex,cpc,prof-professions-retarget,"2023-06-16",35
yandex,cpc,dod-frontend,"2023-06-16",22
vk-senler,cpc,freemium,"2023-06-16",20
yandex,cpc,dod-professions,"2023-06-16",15
vk,cpc,prof-data-analytics,"2023-06-16",15
vk,cpc,prof-python,"2023-06-16",14
yandex,cpc,dod-java,"2023-06-16",12
yandex,cpc,base-professions-retarget,"2023-06-16",10
vk,cpc,prof-frontend,"2023-06-16",9
vk,cpc,prof-java,"2023-06-16",9
telegram,cpp,base-frontend,"2023-06-16",9
vk,cpc,freemium-java,"2023-06-16",7
telegram,social,dod-professions,"2023-06-16",7
vk,cpc,freemium-frontend,"2023-06-16",7
vk,cpc,freemium-python,"2023-06-16",6
yandex,cpc,dod-php,"2023-06-16",6
telegram,cpp,prof-python,"2023-06-16",5
yandex,cpc,dod-qa,"2023-06-16",5
yandex,cpc,dod-python-java,"2023-06-16",5
vk,social,all-courses,"2023-06-16",4
telegram,cpp,prof-java,"2023-06-16",4
vk,social,prof-python,"2023-06-16",3
vk,social,base-python,"2023-06-16",3
vk,social,dod-professions,"2023-06-16",2
vk,social,hexlet-blog,"2023-06-16",2
telegram,cpp,dod-java,"2023-06-16",2
vk,cpc,php,"2023-06-16",2
vk,cpp,base-frontend,"2023-06-16",2
telegram,cpp,base-java,"2023-06-16",2
timepad,cpp,base-frontend,"2023-06-16",2
twitter,social,v-etoy-statie-my-dadim-neskolko-sovetov,"2023-06-16",1
instagram,social,promo,"2023-06-16",1
telegram,social,promo,"2023-06-16",1
vk,cpm,base,"2023-06-16",1
vk,cpp,dod-frontend,"2023-06-16",1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,"2023-06-16",1
admitad,cpc,"183258","2023-06-16",1
telegram,cpp,base-python,"2023-06-16",1
slack,social,hexlet,"2023-06-16",1
telegram,cpm,frontend,"2023-06-16",1
twitter,social,all-courses,"2023-06-16",1
telegram,cpp,dod-frontend,"2023-06-16",1
vk,social,general,"2023-06-16",1
baidu.com,organic,,"2023-06-16",1
twitter,social,v-kontse-yanvarya-praktika-heksleta-ne-rabo,"2023-06-16",1
telegram,cpp,prof-frontend,"2023-06-16",1
vk,cpc,prof-php,"2023-06-16",1
telegram,social,hexlet-blog,"2023-06-16",1
admitad,cpa,"442763","2023-06-16",1
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,social,course_completed,"2023-06-16",1
telegram,cpm,java,"2023-06-16",1
vk,social,prof-data-analyst,"2023-06-16",1
vk,social,dod-frontend,"2023-06-16",1
yandex.com,organic,,"2023-06-16",1
vk,social,base-frontend,"2023-06-16",1
instagram,social,base-python,"2023-06-16",1
vk,cpc,yaintern,"2023-06-16",1
telegram,social,course_completed,"2023-06-16",1
google,organic,,"2023-06-17",3499
organic,organic,,"2023-06-17",1456
yandex,cpc,freemium,"2023-06-17",200
yandex,cpc,prof-python,"2023-06-17",174
yandex,cpc,prof-frontend,"2023-06-17",132
yandex,cpc,prof-java,"2023-06-17",131
admitad,cpa,admitad,"2023-06-17",71
yandex,cpc,base-python,"2023-06-17",63
yandex,cpc,prof-professions-brand,"2023-06-17",58
yandex,cpc,base-java,"2023-06-17",43
bing.com,organic,,"2023-06-17",41
yandex,cpc,base-frontend,"2023-06-17",39
yandex,cpc,prof-data-analytics,"2023-06-17",34
yandex,cpc,dod-professions,"2023-06-17",25
vk-senler,cpc,freemium,"2023-06-17",23
yandex,cpc,prof-professions-retarget,"2023-06-17",22
yandex,cpc,dod-frontend,"2023-06-17",13
yandex,cpc,dod-qa,"2023-06-17",11
yandex,cpc,dod-php,"2023-06-17",11
yandex,cpc,dod-python-java,"2023-06-17",9
vk,cpc,prof-python,"2023-06-17",9
telegram,cpp,base-frontend,"2023-06-17",9
vk,cpc,prof-frontend,"2023-06-17",8
yandex,cpc,base-professions-retarget,"2023-06-17",8
vk,cpc,freemium-frontend,"2023-06-17",7
vk,cpc,prof-data-analytics,"2023-06-17",7
vk,cpc,prof-java,"2023-06-17",6
vk,cpc,freemium-python,"2023-06-17",6
vk,social,dod-professions,"2023-06-17",6
yandex,cpc,dod-java,"2023-06-17",6
vk,cpc,freemium-java,"2023-06-17",5
telegram,cpp,prof-frontend,"2023-06-17",4
vk,social,all-courses,"2023-06-17",3
telegram,cpp,base-java,"2023-06-17",3
baidu.com,organic,,"2023-06-17",2
telegram,social,course_completed,"2023-06-17",2
vk,social,general,"2023-06-17",2
vk,cpc,frontend,"2023-06-17",2
telegram,social,dod-professions,"2023-06-17",2
telegram,cpp,base-python,"2023-06-17",2
yandex.com,organic,,"2023-06-17",2
telegram,social,hexlet-blog,"2023-06-17",2
yandex-direct,cpc,"50088205","2023-06-17",1
twitter,social,promo,"2023-06-17",1
Yandex,cpc,"93234055","2023-06-17",1
twitter,social,hexlet-blog,"2023-06-17",1
admitad,cpc,"442763","2023-06-17",1
timepad,cpp,base-frontend,"2023-06-17",1
telegram,social,promo,"2023-06-17",1
facebook,social,hexlet-blog,"2023-06-17",1
telegram,cpp,prof-python,"2023-06-17",1
vk,cpc,prof-qa,"2023-06-17",1
instagram,social,base-frontend,"2023-06-17",1
vk,cpm,base,"2023-06-17",1
instagram,social,hexlet-blog,"2023-06-17",1
vk,social,promo,"2023-06-17",1
instagram,social,prof-data-analyst,"2023-06-17",1
telegram,cpp,prof-java,"2023-06-17",1
vk,social,prof-data-analytics,"2023-06-17",1
telegram,cpp,prof-data-analytics,"2023-06-17",1
vk,cpp,base-frontend,"2023-06-17",1
zen,social,zen_post,"2023-06-17",1
telegram,cpm,base_python,"2023-06-17",1
telegram,cpm,frontend,"2023-06-17",1
telegram,cpm,java,"2023-06-17",1
Yandex,cpc,"06892634","2023-06-17",1
google,organic,,"2023-06-18",3851
organic,organic,,"2023-06-18",809
yandex,cpc,freemium,"2023-06-18",219
yandex,cpc,prof-python,"2023-06-18",163
yandex,cpc,prof-frontend,"2023-06-18",149
yandex,cpc,prof-java,"2023-06-18",111
admitad,cpa,admitad,"2023-06-18",78
yandex,cpc,base-java,"2023-06-18",61
yandex,cpc,prof-professions-brand,"2023-06-18",51
yandex,cpc,base-python,"2023-06-18",43
bing.com,organic,,"2023-06-18",36
yandex,cpc,base-frontend,"2023-06-18",27
yandex,cpc,prof-data-analytics,"2023-06-18",27
yandex,cpc,prof-professions-retarget,"2023-06-18",25
vk-senler,cpc,freemium,"2023-06-18",21
yandex,cpc,dod-frontend,"2023-06-18",21
yandex,cpc,dod-professions,"2023-06-18",14
telegram,cpp,base-frontend,"2023-06-18",11
yandex,cpc,dod-php,"2023-06-18",11
vk,cpc,prof-data-analytics,"2023-06-18",10
vk,cpc,freemium-frontend,"2023-06-18",9
yandex,cpc,base-professions-retarget,"2023-06-18",9
vk-senler,cpc,dod-professions,"2023-06-18",8
vk,cpc,prof-java,"2023-06-18",8
yandex,cpc,dod-java,"2023-06-18",8
yandex,cpc,dod-python-java,"2023-06-18",8
vk,cpc,freemium-python,"2023-06-18",7
vk,cpc,prof-python,"2023-06-18",6
vk,social,dod-professions,"2023-06-18",4
yandex,cpc,dod-qa,"2023-06-18",4
telegram,cpp,base-python,"2023-06-18",3
telegram,cpp,base-java,"2023-06-18",2
vk,social,all-courses,"2023-06-18",2
telegram,social,hexlet-blog,"2023-06-18",2
telegram,social,promo,"2023-06-18",2
vk,cpc,prof-frontend,"2023-06-18",2
telegram,cpp,prof-java,"2023-06-18",2
telegram,cpp,prof-python,"2023-06-18",2
vc,cpp,dod-professions,"2023-06-18",2
telegram,social,course_completed,"2023-06-18",2
zen,social,prof-data-analyst,"2023-06-18",1
telegram,cpp,prof-qa,"2023-06-18",1
vkontakte,social,button-vk,"2023-06-18",1
vk.com,social,skolko-stoit-obuchenie-na-hekslete-dlya,"2023-06-18",1
vk-senler,cpc,dod-frontend,"2023-06-18",1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,"2023-06-18",1
telegram,social,mdtruehaskell--funktsionalnyy-yazyk,"2023-06-18",1
vk,social,prof-python,"2023-06-18",1
Yandex,cpc,"77386453","2023-06-18",1
vk,cpc,freemium-java,"2023-06-18",1
telegram,cpp,dod-frontend,"2023-06-18",1
baidu.com,organic,,"2023-06-18",1
telegram,social,base-frontend,"2023-06-18",1
vk,cpp,base-frontend,"2023-06-18",1
partners,cpm,all,"2023-06-18",1
zen_from_telegram,social,,"2023-06-18",1
yandex-direct,cpc,"97574364","2023-06-18",1
twitter,social,all-courses,"2023-06-18",1
twitter,social,course_completed,"2023-06-18",1
Yandex,cpc,"39770358","2023-06-18",1
Yandex,cpc,"81276251","2023-06-18",1
facebook,cpc,freemium,"2023-06-18",1
telegram,social,dod-professions,"2023-06-18",1
zen,social,hexlet-blog,"2023-06-18",1
organic,organic,,"2023-06-19",1154
google,organic,,"2023-06-19",502
yandex,cpc,freemium,"2023-06-19",239
yandex,cpc,prof-python,"2023-06-19",185
yandex,cpc,prof-java,"2023-06-19",143
yandex,cpc,prof-frontend,"2023-06-19",135
admitad,cpa,admitad,"2023-06-19",69
yandex,cpc,base-java,"2023-06-19",66
yandex,cpc,base-python,"2023-06-19",60
bing.com,organic,,"2023-06-19",54
yandex,cpc,prof-professions-brand,"2023-06-19",45
yandex,cpc,base-frontend,"2023-06-19",43
yandex,cpc,prof-data-analytics,"2023-06-19",35
vk-senler,cpc,freemium,"2023-06-19",23
yandex,cpc,dod-frontend,"2023-06-19",18
yandex,cpc,prof-professions-retarget,"2023-06-19",18
vk,cpc,prof-python,"2023-06-19",15
yandex,cpc,base-professions-retarget,"2023-06-19",14
vk,cpc,prof-frontend,"2023-06-19",12
vk,cpc,prof-java,"2023-06-19",11
vk,cpc,prof-data-analytics,"2023-06-19",10
telegram,cpp,base-frontend,"2023-06-19",9
vk,cpc,freemium-python,"2023-06-19",8
yandex,cpc,dod-qa,"2023-06-19",8
yandex,cpc,dod-python-java,"2023-06-19",8
vk,cpc,freemium-frontend,"2023-06-19",7
yandex,cpc,dod-java,"2023-06-19",6
yandex,cpc,dod-professions,"2023-06-19",6
yandex,cpc,dod-php,"2023-06-19",6
vk,social,all-courses,"2023-06-19",4
vk,cpc,freemium-java,"2023-06-19",4
vk,cpp,dod-python-java,"2023-06-19",4
timepad,cpp,base-frontend,"2023-06-19",3
vk,social,base-python,"2023-06-19",3
twitter.com,social,istorii-uspeha-nashih-uchenikov-i-vypuskni,"2023-06-19",3
zen,social,all-courses,"2023-06-19",2
telegram,social,promo,"2023-06-19",2
instagram,social,hexlet-blog,"2023-06-19",2
go.mail.ru,organic,,"2023-06-19",2
vk,social,general,"2023-06-19",2
telegram,social,dod-professions,"2023-06-19",2
yandex.com,organic,,"2023-06-19",2
telegram,cpp,base-python,"2023-06-19",2
twitter,social,hexlet-blog,"2023-06-19",2
telegram,cpp,prof-python,"2023-06-19",2
vk,social,base-java,"2023-06-19",2
vk,cpp,dod-professions,"2023-06-19",1
vk,cpp,dod-frontend,"2023-06-19",1
telegram,social,special-newyear23,"2023-06-19",1
Yandex,cpc,"52168119","2023-06-19",1
telegram,social,course_completed,"2023-06-19",1
twitter,social,devushki_v_it,"2023-06-19",1
dzen,social,dzen-post,"2023-06-19",1
telegram,cpp,dod-java,"2023-06-19",1
vk,cpp,base-frontend,"2023-06-19",1
vc,cpp,dod-professions,"2023-06-19",1
vk,social,base-frontend,"2023-06-19",1
telegram,social,kak-blagodarya-heksletu-ya-ustroilsya-v-epa,"2023-06-19",1
telegram,cpp,prof-data-analytics,"2023-06-19",1
telegram,social,hexlet-blog,"2023-06-19",1
vk,social,prof-data-analyst,"2023-06-19",1
vk,social,base-php,"2023-06-19",1
instagram,social,all-courses,"2023-06-19",1
vk,social,dod-professions,"2023-06-19",1
