"source","medium","campaign","created_at","leads_count"
yandex,cpc,prof-python,"2023-06-08",3
yandex,cpc,prof-java,"2023-06-08",3
yandex,cpc,base-frontend,"2023-06-08",3
yandex,cpc,dod-frontend,"2023-06-08",3
telegram,cpp,dod-java,"2023-06-08",2
vk,cpc,freemium-frontend,"2023-06-08",2
yandex,cpc,prof-frontend,"2023-06-08",2
vk,cpc,freemium-java,"2023-06-08",2
yandex,cpc,prof-data-analytics,"2023-06-08",1
yandex,cpc,prof-professions-retarget,"2023-06-08",1
vk,cpc,freemium-python,"2023-06-08",1
yandex,cpc,base-python,"2023-06-08",1
organic,organic,,"2023-06-08",1
telegram,cpp,dod-frontend,"2023-06-08",1
telegram,cpp,prof-python,"2023-06-08",1
yandex,cpc,prof-professions-brand,"2023-06-08",1
google,organic,,"2023-06-09",36
organic,organic,,"2023-06-09",20
vk,cpc,freemium-frontend,"2023-06-09",4
yandex,cpc,prof-frontend,"2023-06-09",3
yandex,cpc,freemium,"2023-06-09",3
vk,cpc,freemium-python,"2023-06-09",3
yandex,cpc,prof-python,"2023-06-09",3
yandex,cpc,base-python,"2023-06-09",3
yandex,cpc,base-frontend,"2023-06-09",3
vk,cpc,prof-frontend,"2023-06-09",2
vk,cpc,prof-data-analytics,"2023-06-09",2
vk,cpc,base-python,"2023-06-09",2
yandex,cpc,prof-java,"2023-06-09",2
vk,cpc,prof-java,"2023-06-09",1
telegram,cpp,prof-java,"2023-06-09",1
yandex,cpc,base-java,"2023-06-09",1
yandex,cpc,base-professions-retarget,"2023-06-09",1
vk,cpc,freemium-java,"2023-06-09",1
vk,cpc,prof-python,"2023-06-09",1
yandex,cpc,prof-data-analytics,"2023-06-09",1
google,organic,,"2023-06-10",9
organic,organic,,"2023-06-10",8
yandex,cpc,freemium,"2023-06-10",5
vk,cpc,freemium-frontend,"2023-06-10",4
yandex,cpc,prof-frontend,"2023-06-10",3
vk,cpc,freemium-java,"2023-06-10",3
vk,cpc,freemium-python,"2023-06-10",2
yandex,cpc,prof-python,"2023-06-10",2
yandex,cpc,base-python,"2023-06-10",2
vk,cpc,prof-java,"2023-06-10",2
yandex,cpc,base-frontend,"2023-06-10",1
vk,cpc,prof-python,"2023-06-10",1
yandex,cpc,prof-data-analytics,"2023-06-10",1
yandex,cpc,prof-professions-retarget,"2023-06-10",1
yandex,cpc,prof-professions-brand,"2023-06-10",1
google,organic,,"2023-06-11",32
vk,cpc,freemium-java,"2023-06-11",2
yandex,cpc,freemium,"2023-06-11",1
vk,cpc,freemium-frontend,"2023-06-11",1
yandex,cpc,prof-data-analytics,"2023-06-11",1
organic,organic,,"2023-06-11",1
yandex,cpc,base-python,"2023-06-11",1
yandex,cpc,prof-python,"2023-06-11",1
vk,cpc,base-python,"2023-06-11",1
vk,cpc,prof-python,"2023-06-11",1
yandex,cpc,prof-frontend,"2023-06-11",1
google,organic,,"2023-06-12",23
organic,organic,,"2023-06-12",6
vk,cpc,freemium-java,"2023-06-12",5
yandex,cpc,prof-java,"2023-06-12",4
vk,cpc,prof-data-analytics,"2023-06-12",3
yandex,cpc,prof-python,"2023-06-12",2
vk,cpc,prof-python,"2023-06-12",2
yandex,cpc,prof-frontend,"2023-06-12",2
vk,cpc,base-python,"2023-06-12",1
yandex,cpc,base-frontend,"2023-06-12",1
yandex,cpc,freemium,"2023-06-12",1
vk,cpc,freemium-python,"2023-06-12",1
yandex,cpc,prof-professions-retarget,"2023-06-12",1
vk,cpm,prof-data-analytics,"2023-06-12",1
bing.com,organic,,"2023-06-13",23
google,organic,,"2023-06-13",15
organic,organic,,"2023-06-13",12
yandex,cpc,prof-java,"2023-06-13",5
vk,cpc,freemium-frontend,"2023-06-13",5
yandex,cpc,freemium,"2023-06-13",5
yandex,cpc,prof-frontend,"2023-06-13",5
yandex,cpc,prof-python,"2023-06-13",3
vk,cpc,prof-data-analytics,"2023-06-13",2
vk,cpc,prof-java,"2023-06-13",2
vk,cpc,freemium-java,"2023-06-13",2
yandex,cpc,prof-professions-brand,"2023-06-13",2
vk,cpc,prof-python,"2023-06-13",2
vk,cpc,base-python,"2023-06-13",2
yandex,cpc,prof-data-analytics,"2023-06-13",2
vk,cpc,prof-frontend,"2023-06-13",1
yandex,cpc,base-java,"2023-06-13",1
telegram,social,dod-professions,"2023-06-13",1
yandex,cpc,base-frontend,"2023-06-13",1
yandex,cpc,base-python,"2023-06-13",1
vk,cpc,freemium-python,"2023-06-13",1
vk,cpm,prof-data-analytics,"2023-06-13",1
telegram,social,dod-professions,"2023-06-14",20
google,organic,,"2023-06-14",19
organic,organic,,"2023-06-14",11
yandex,cpc,prof-frontend,"2023-06-14",9
yandex,cpc,freemium,"2023-06-14",8
vk,cpc,freemium-java,"2023-06-14",8
admitad,cpa,admitad,"2023-06-14",8
yandex,cpc,base-frontend,"2023-06-14",7
vk,cpc,prof-data-analytics,"2023-06-14",6
